05:58:47.895272 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 344840:345004, ack 181, win 501, length 164
05:58:47.895355 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 345004:345168, ack 181, win 501, length 164
05:58:47.895437 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 345168:345332, ack 181, win 501, length 164
05:58:47.895516 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 345332:345496, ack 181, win 501, length 164
05:58:47.895600 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 345496:345660, ack 181, win 501, length 164
05:58:47.895682 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 345660:345824, ack 181, win 501, length 164
05:58:47.895764 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 345824:345988, ack 181, win 501, length 164
05:58:47.895849 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 345988:346152, ack 181, win 501, length 164
05:58:47.895930 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 346152:346316, ack 181, win 501, length 164
05:58:47.896012 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 346316:346480, ack 181, win 501, length 164
05:58:47.896094 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 346480:346644, ack 181, win 501, length 164
05:58:47.896179 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 346644:346808, ack 181, win 501, length 164
05:58:47.896278 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 346808:346972, ack 181, win 501, length 164
05:58:47.896362 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 346972:347136, ack 181, win 501, length 164
05:58:47.896444 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 347136:347300, ack 181, win 501, length 164
05:58:47.896527 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 347300:347464, ack 181, win 501, length 164
05:58:47.896609 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 347464:347628, ack 181, win 501, length 164
05:58:47.896692 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 347628:347792, ack 181, win 501, length 164
05:58:47.896779 IP 143.110.210.251.22 > 99.226.233.187.65116: Flags [P.], seq 347792:347956, ack 181, win 501, length 164
